Tiempo (s),Jugadas
0.2598753999991459,173
0.47440829999686684,376
0.5208128000012948,412
0.5048706999987189,421
0.3603853999993589,265
0.33208659999945667,263
0.12430139999923995,95
0.06091920000108075,48
0.1589276000013342,134
0.2585244000001694,204
0.12083060000077239,105
0.12351080000007642,83
0.5068695000009029,344
0.13880040000003646,111
0.6748633999995945,535
0.10678349999943748,88
0.1174962000004598,92
0.11302169999908074,77
0.17324219999864,147
0.07330849999925704,62
0.5194093999998586,121
0.11096040000120411,89
0.27121790000092005,223
0.3699099000004935,298
0.3859776999997848,326
0.5065476999989187,408
0.39130980000118143,326
0.23940420000144513,189
0.28546020000067074,216
0.059182699998928,51
