Tiempo (s),Jugadas
0.05807310000091093,63
0.2836368999996921,77
0.037067299999762326,66
0.05741499999930966,65
0.05382909999752883,34
0.1498089999986405,47
0.2246326999993471,8
0.06493460000274354,58
0.135117400001036,109
0.27276160000110394,45
0.010496400002011796,18
0.3317892999984906,39
0.22328669999842532,78
0.12866740000026766,40
0.18470780000279774,19
0.04156379999767523,78
0.6684764999990875,61
0.40966090000074473,112
0.09401029999935417,67
0.012793399997462984,24
0.05424649999986286,94
0.13788660000136588,47
0.011957700000493787,25
0.06050589999722433,125
0.2133856000000378,120
0.172452599999815,55
0.5552779999998165,96
0.09619430000020657,83
0.13383459999749903,132
0.10688840000148048,123
0.11170209999909275,89
0.0366204000019934,37
0.09430689999862807,54
0.20372380000117118,123
0.42016309999962687,37
0.03204399999958696,11
0.22749230000044918,96
0.11404480000055628,102
0.00493579999965732,10
0.06765449999875273,91
0.7457385000016075,2
0.13031879999834928,57
0.16819950000353856,83
0.03820099999938975,76
0.07080519999726675,17
0.13403980000293814,34
0.1370360000000801,74
0.16739640000014333,34
0.589553400001023,123
0.06620090000069467,73
0.20212670000182698,32
0.05208850000053644,9
0.10750919999918551,167
0.1960304999993241,46
0.012016600001516053,16
0.08368629999677069,98
0.14457920000131708,80
0.016862600001331884,34
0.18644850000055158,63
0.22759919999953127,117
0.04151540000020759,37
0.01813620000029914,28
0.024980599999253172,12
0.06401170000026468,75
0.025937900001736125,45
0.11018020000119577,113
0.07942259999981616,108
0.2446293000029982,87
0.3042632999968191,13
0.027144899999257177,58
0.10766230000081123,111
0.27679300000090734,170
0.09143799999947078,32
0.047913800000969786,98
0.04387210000277264,33
0.016027900001063244,28
0.17061349999858066,58
0.31367450000107056,97
0.08513890000176616,173
0.02047839999795542,41
0.015679800002544653,28
0.18723120000140625,77
0.2907955000009679,151
0.07120050000230549,4
0.04851109999799519,6
0.21084949999931268,32
0.1639180000020133,142
0.04970599999796832,43
0.1775104000007559,63
0.06224619999920833,63
0.2384645999991335,42
0.02609219999794732,50
0.09987399999954505,108
0.1360394000002998,24
0.018209600002592197,34
0.2066028000008373,70
0.16952390000005835,65
0.4247646000003442,149
0.24268970000048284,76
0.13055679999888525,60
0.2638202000016463,52
0.045453599999746075,89
0.02791570000044885,56
0.08270439999978407,28
0.14332890000150655,76
0.32058799999867915,88
0.27372050000121817,57
0.21732150000025285,34
0.09325040000112494,21
0.1572037999976601,49
0.13075469999967027,76
0.1133004000002984,50
0.46769579999818234,37
0.5185773000011977,6
0.11436789999788743,22
0.22562370000014198,3
0.011022800001228461,23
0.0261402000032831,7
0.09125920000224141,18
0.2981690999986313,19
0.4283432000011089,27
0.03492589999950724,66
0.05353290000130073,101
0.10172800000145799,92
0.06484560000171768,132
0.10075510000024224,34
0.1507597000017995,55
0.03246679999938351,64
0.168684200001735,96
0.3407638000026054,20
0.18130459999883897,29
0.030957899998611538,64
0.030999299997347407,6
0.010166399999434361,20
0.04485660000136704,90
0.04207730000052834,75
0.1311452999980247,42
0.17857920000096783,81
0.3901810999996087,181
0.045075900001393165,26
0.021106599997438025,43
0.020988699998270022,37
0.09862219999922672,47
0.01461370000106399,32
0.06235299999752897,119
0.006590800003323238,13
0.4033812999987276,44
0.06663200000184588,20
0.3430409000029613,77
0.05350600000019767,79
0.09573860000091372,61
0.027007200002117315,56
0.1377541999972891,100
0.4273973000017577,58
0.19027659999846946,52
0.10486160000073141,99
0.08575609999752487,128
0.10764819999894826,26
0.0470411000023887,60
0.2605958999993163,93
0.05526060000192956,110
0.19051810000019032,82
0.19327169999814942,134
0.11787290000211215,160
0.1481686000006448,61
0.11752399999750196,90
0.24484080000183894,37
0.1473829000024125,58
0.04946180000115419,103
0.14919630000076722,70
0.07197660000019823,14
0.1361797999998089,123
0.2316283999971347,74
0.07435990000158199,111
0.02648639999824809,53
0.46017009999923175,143
0.015091900000697933,32
0.012533100001746789,26
0.06788420000157203,140
0.09982070000114618,57
0.05392279999796301,20
0.1440336000014213,114
0.15234119999877294,98
0.2517613000018173,85
0.07940489999964484,55
0.17213689999698545,124
0.02345939999941038,44
0.04112809999787714,44
0.04773220000060974,97
0.041514699998515425,84
0.05495859999791719,67
0.03878260000055889,77
0.08038310000119964,61
0.17776999999841792,80
0.15800149999995483,40
0.4105137000005925,90
0.09738930000094115,112
0.022758200000680517,47
0.1274297000018123,88
0.1528400999995938,55
