Tiempo (s),Jugadas
0.005975899999612011,48
0.0031529000007139985,26
0.002967600001284154,4
0.01111510000191629,14
0.0021421999990707263,1
0.0032129999999597203,3
0.0032523000008950476,16
0.009061299999302719,1
0.005453499998111511,13
0.0023063000007823575,2
0.012347700001555495,1
0.007752800000162097,1
0.003832999998849118,26
0.0067286000012245495,2
0.002348999998503132,3
0.010125199998583412,2
0.004121499998291256,13
0.004197499998554122,11
0.003817099997831974,7
0.0008152000009431504,1
0.010429800000565592,4
0.004200999999738997,31
0.008742499998334097,6
0.004165499998634914,23
0.009962299998733215,8
0.0332914000027813,11
0.000499999998282874,4
0.0007246000022860244,4
0.0018665999996301252,1
0.014399099996808218,2
0.0008793000015430152,2
0.024281100002554012,13
0.0017928999986907002,18
0.005650800001603784,8
0.014881999999488471,2
0.0008135000025504269,3
0.002516600001399638,1
0.0047448999976040795,4
0.0026907999999821186,7
0.004916800000501098,2
0.0016519000018888619,2
0.002420099997834768,6
0.003912199998012511,1
0.007128900000680005,31
0.0029037999993306585,3
0.012044800001604017,3
0.014069800003198907,33
0.0016857000009622425,1
0.0017797000000427943,4
0.012538800001493655,2
0.0031882000002951827,35
0.007199899999250192,5
0.006418099997972604,1
0.00947699999960605,16
0.003417699997953605,3
0.008611999997810926,6
0.010907600000791717,3
0.00045619999946211465,3
0.0017797000000427943,1
0.0006719000011798926,2
0.0037432999997690786,4
0.004002900001069065,3
0.01764320000074804,3
0.0011147000004712027,4
0.00594220000130008,25
0.009910899996611988,45
0.006222900003194809,28
0.008763099998759571,2
0.00250429999869084,6
0.0022814000003563706,14
0.008505199999490287,4
0.008602199999586446,2
0.0017630000002100132,17
0.0022028999992471654,9
0.0074467000013100915,19
0.0019820000015897676,4
0.0014019000009284355,4
0.021573899997747503,4
0.002463299999362789,4
0.005655300003127195,8
0.00833779999811668,8
0.01475399999981164,8
0.005737899999076035,35
0.005072100000688806,19
0.0013628999986394774,1
0.008146600001055049,8
0.0018189999973401427,3
0.0019352999988768715,3
0.009308100001362618,14
0.006974099997023586,3
0.0027179000026080757,4
0.007807999998476589,1
0.0008663000007800292,6
0.009515100002317922,12
0.00558420000015758,1
0.005303800000547199,28
0.0021630999981425703,4
0.0012246000005688984,10
0.011138499998196494,7
0.008757799998420523,38
0.0035416000027908012,6
0.003005200000188779,10
0.0016598000001977198,6
0.004646400000638096,19
0.006489700001111487,2
0.00042690000191214494,2
0.004129100001591723,9
0.0009466000010434072,6
0.0004647999994631391,2
0.0060814999997091945,10
0.011914300001080846,3
0.008563699997466756,3
0.0006828000005043577,2
0.005590299999312265,7
0.0030915000024833716,2
0.0056207000016001984,6
0.011608100001467392,1
0.012141999999585096,10
0.026171099998464342,1
0.009285500000260072,3
0.008208800001739291,3
0.0004831000005651731,2
0.0006142000020190608,1
0.011109700000815792,4
0.0105321000010008,9
0.0071690000004309695,2
0.003255600000557024,20
0.0008421999991696794,3
0.005636599998979364,1
0.007871099998737918,6
0.0006121000005805399,1
0.009973700001864927,6
0.007665699999051867,11
0.01433760000145412,25
0.004034699999465374,6
0.007595399998535868,3
0.0017172000007121824,3
0.004616700000042329,8
0.0028660000025411136,21
0.0039437999985239,10
0.006577299998753006,6
0.011607799999183044,13
0.0015591000010317657,7
0.03638829999908921,2
0.011436200002208352,1
0.0038605999980063643,1
0.006009000000631204,4
0.004751599997689482,3
0.0032166000019060448,3
0.0003770000002987217,1
0.007956699999340344,12
0.013025299998844275,1
0.00241690000257222,4
0.02223009999943315,17
0.001690299999609124,1
0.0018672000005608425,1
0.004151400000409922,33
0.01924480000161566,3
0.0019969999993918464,21
0.0007590999994135927,6
0.003713699999934761,3
0.000356399999873247,1
0.010482999998203013,24
0.004505799999606097,17
0.004173600002104649,4
0.00370180000027176,8
0.006052200002159225,1
0.01578999999765074,10
0.0038545999996131286,2
0.012375499998597661,5
0.007344499997998355,5
0.013209000000642845,2
0.009341100001620362,11
0.02404980000210344,7
0.002939000001788372,2
0.0032964999991236255,1
0.0011516999984451104,5
0.029896699998062104,2
0.0057084000000031665,11
0.004048800001328345,4
0.001053299998602597,6
0.0026720000023487955,5
0.016093899997940753,34
0.0020393999984662514,3
0.0009103000011236873,5
0.005088800000521587,1
0.03482870000152616,2
0.0010309999997843988,3
0.004160299999057315,1
0.00881419999859645,23
0.010017199998401338,8
0.01695330000075046,1
0.000963999998930376,3
0.0039146999988588504,5
0.009033800000906922,40
0.0003938999980164226,1
0.0044883999980811495,13
0.0036027999994985294,18
0.01253540000107023,1
0.004487099999096245,43
