Tiempo (s),Jugadas
0.014211500001692912,13
0.0005684999996447004,4
0.001945500000147149,18
0.002571699998952681,12
0.0017129000007116701,7
0.010118400001374539,2
0.0003552999987732619,3
0.0008122999970510136,7
0.0014082999987294897,10
0.003194400000211317,44
0.005254899999272311,49
0.0012354999998933636,12
0.0051191000020480715,5
0.005674099997122539,65
0.004001300003437791,10
0.0004971999987901654,5
0.005897899998672074,62
0.0015824000001884997,10
0.0028031000001647044,26
0.00564930000109598,74
0.006420199999411125,19
0.0029673999997612555,32
0.0015129999992495868,13
0.001450300002034055,9
0.002643499999976484,34
0.0013872999988961965,14
0.004357999998319428,42
0.012728300000162562,42
0.006267699998716125,78
0.006763500001397915,87
0.0006241000010049902,5
0.011675900001137052,156
0.0011965999983658548,4
0.0028990999999223277,25
0.006409099998563761,9
0.0023039000006974675,9
0.0012663000015891157,3
0.0030821000000287313,30
0.0014491000001726206,6
0.01364829999874928,55
0.007387900001049275,80
0.010097400001541246,10
0.007342599998082733,8
0.012287400000786874,18
0.0038889999996172264,15
0.0005318000003171619,5
0.004101700000319397,12
0.0017360999991069548,15
0.003127400002995273,33
0.018434400000842288,81
0.004053799999383045,47
0.0027036999999836553,31
0.0004273000013199635,2
0.005513799998880131,37
0.014265600002545398,53
0.003906699999788543,15
0.005024700003559701,29
0.0005152000012458302,2
0.003307000002678251,14
0.00040239999725599773,3
0.00601480000113952,13
0.0021063999993202742,25
0.0073842000019794796,67
0.00229369999942719,27
0.020738100000016857,81
0.005719599997974001,11
0.004218100002617575,41
0.002371400001720758,16
0.013231200002337573,20
0.0040908999981184024,54
0.00045169999793870375,4
0.004312100001698127,52
0.0030723999989277218,7
0.0028122000003349967,29
0.005310699998517521,74
0.003315000001748558,8
0.0032719000009819865,37
0.007307699997909367,12
0.006137600001238752,21
0.00623269999778131,10
0.004537500000878936,11
0.002184500001021661,21
0.004440099997736979,66
0.001461899999412708,13
0.010999699999956647,34
0.004584199999953853,44
0.006245500000659376,50
0.0032926000021689106,12
0.009335899998404784,48
0.009370200001285411,65
0.00722430000314489,17
0.004069700000400189,38
0.0005263999992166646,5
0.01697280000007595,140
0.008208600000216393,97
0.002621999999973923,29
0.000371000001905486,3
0.0014556999994965736,20
0.004298899999412242,53
0.0012067000025126617,11
0.0003802999999606982,3
0.001337599998805672,12
0.003240199999709148,28
0.0007122999995772261,4
0.0007426000011037104,7
0.0014119999977992848,15
0.0013312999981280882,14
0.0010839999995368998,10
0.004203499996947357,51
0.001302700002270285,12
0.007994899999175686,103
0.0015942999998515006,16
0.01027059999978519,146
0.007597199997690041,3
0.00541729999895324,70
0.006084299999201903,61
0.003073299998504808,37
0.004602100001648068,32
0.00761160000183736,24
0.0037913000014668796,25
0.0030451000020548236,38
0.001114800001232652,9
0.00485109999863198,61
0.012157299999671523,41
0.012396000001899665,5
0.0009820000013860408,11
0.0016544000027352013,17
0.012274500000785338,76
0.001908700000058161,18
0.006325599999399856,68
0.001170099996670615,10
0.021401499998319196,144
0.002122499998222338,18
0.012367200000880985,8
0.0007938999988255091,8
0.002352999999857275,3
0.0005412999998952728,5
0.0017347000029985793,16
0.004045500001666369,52
0.002563199999713106,29
0.0029902000023867004,24
0.005292799996823305,36
0.0010476000024937093,4
0.002500099999451777,9
0.0013060000019322615,11
0.002206199998909142,12
0.0015272999989974778,10
0.0004588000010699034,2
0.008170000000973232,11
0.0029036000014457386,12
0.0009490999982517678,9
0.0010284999989380594,8
0.004690199999458855,15
0.008791899999778252,33
0.005304700000124285,61
0.002302400000189664,29
0.001686400002654409,17
0.003943699997762451,9
0.0022279000004346017,26
0.002708899999561254,29
0.006172299999889219,29
0.0012951999997312669,12
0.0004301000008126721,3
0.01002650000009453,131
0.007087999998475425,63
0.0007000000005064066,3
0.002203899999585701,17
0.0021912999982305337,28
0.002442299999529496,20
0.0014904000017850194,11
0.0011721000009856652,9
0.0015346000000135973,18
0.0007727999982307665,8
0.010825800000020536,28
0.0006606999995710794,6
0.010514099998545134,39
0.0014274999994086102,9
0.0050295000000915024,68
0.003726200000528479,28
0.0010840999966603704,9
0.0023905999987618998,21
0.002375300002313452,35
0.001586700000189012,17
0.002820199999405304,26
0.001654799998505041,14
0.0028716999986500014,1
0.005839400000695605,51
0.0019296999998914544,20
0.0029790999979013577,7
0.0003279000011389144,3
0.005717600000934908,3
0.00209280000126455,23
0.0010815000023285393,10
0.0038611999989370815,9
0.004495099998166552,58
0.007217800000944408,15
0.001463199998397613,13
0.0008429000008618459,9
0.0008793999986664858,9
0.00869070000044303,23
