Tiempo (s),Jugadas
0.016680799999448936,7
0.007324599999265047,2
0.0024893999980122317,7
0.027965500001300825,1
0.005035800000769086,3
0.00911880000057863,2
0.002748200000496581,3
0.008168300002580509,45
0.0077961999995750375,43
0.007811700001184363,2
0.012794700000085868,6
0.00542929999937769,7
0.003152799999952549,1
0.004537500000878936,1
0.003193299999111332,3
0.0012821000018448103,4
0.011727900000551017,6
0.004856499999732478,27
0.007479200001398567,6
0.004800099999556551,1
0.009953599997970741,1
0.011133500000141794,8
0.0015168999998422805,11
0.0013548000024456996,6
0.0007191000004240777,5
0.007806099998560967,3
0.005730699998821365,33
0.022599600000830833,2
0.015408899998874404,1
0.012425200002326164,1
0.010740600002463907,3
0.014685999998619081,2
0.012739699999656295,2
0.012903700000606477,9
0.00418089999948279,6
0.000711800003045937,5
0.015997900001821108,3
0.015989699997589923,3
0.0015964000012900215,3
0.0026704000010795426,5
0.0012562000010802876,1
0.00751509999827249,10
0.002701000001252396,2
0.0026672000021790154,20
0.0011464000017440412,1
0.001136000002588844,6
0.003993500002252404,15
0.004376500000944361,3
0.002197000001615379,9
0.004850100001931423,3
0.010632199999236036,5
0.004318800001783529,9
0.004454599999007769,1
0.004837100001168437,1
0.0032983999990392476,6
0.005765000001701992,29
0.0007564000006823335,3
0.004379999998491257,3
0.0013887999994040001,5
0.0034822999987227377,8
0.009556200002407422,20
0.001149199997598771,4
0.019585199999710312,26
0.013328199998795753,1
0.003848399999696994,2
0.001841599998442689,1
0.003412699999898905,8
0.008709000001545064,1
0.0029254999972181395,1
0.002541999998356914,9
0.0012798999996448401,3
0.009183999998640502,3
0.0033152999967569485,1
0.0017757999994501006,7
0.0005936999987170566,3
0.005797400001029018,15
0.0020796999997401144,4
0.015527200001088204,1
0.005049100000178441,6
0.0006248000026971567,2
0.0030150999991747085,1
0.0109701999972458,2
0.00307510000129696,2
0.001653499999520136,1
0.018447999998898013,1
0.0005034999994677491,1
0.0068958000010752585,1
0.028144400002929615,4
0.005858399999851827,4
0.00029709999944316223,1
0.0006496000023616944,2
0.00935620000018389,7
0.01169099999970058,1
0.008936099999118596,12
0.007394100000965409,4
0.0046196000002964865,4
0.0026751000004878733,4
0.0020819000019400846,7
0.0032252000019070692,5
0.0017208999997819774,2
0.004681499998696381,1
0.003747900002053939,8
0.02036039999802597,4
0.019437099999777274,2
0.0019941000027756672,3
0.020206200002576225,1
0.008013700000446988,2
0.015348000000813045,57
0.004041300002427306,1
0.0063330000011774246,2
0.006790999999793712,13
0.0024268000015581492,1
0.003717699997650925,4
0.015739200000098208,2
0.008069499999692198,16
0.019913500000257045,14
0.0015835000012884848,5
0.00397760000123526,3
0.000885299999936251,2
0.005022499997721752,3
0.016504399998666486,2
0.007242399999086047,2
0.002765100001852261,18
0.0014157000005070586,7
0.008905899998353561,7
0.0061113999981898814,20
0.00026530000104685314,1
0.005870000000868458,2
0.006804399999964517,3
0.00464300000021467,1
0.002027399998041801,8
0.00294430000212742,12
0.0014252000000851694,6
0.00768660000176169,13
0.00352750000092783,3
0.003783899999689311,2
0.011280300001089927,8
0.0013899999976274557,1
0.0035586000012699515,2
0.003839400000288151,13
0.0016641999973217025,1
0.0006164999977045227,3
0.008038399999350077,13
0.006475599999248516,13
0.001978299998881994,7
0.001954300001671072,2
0.002661200000147801,10
0.0004982999998901505,2
0.02296819999901345,28
0.002115299997967668,13
0.007089799997629598,5
0.003309399999125162,12
0.003257199998188298,13
0.015399399999296293,1
0.002036399997450644,2
0.0017133000001194887,1
0.012734500000078697,2
0.003186500001902459,13
0.0066348000000289176,1
0.01862270000128774,1
0.014951699999073753,1
0.0023758999996061902,2
0.0034687000006670132,9
0.005231299997831229,17
0.0070095000010041986,24
0.0008250999999290798,4
0.0050731999981508125,11
0.0021362000006774906,1
0.015844000001379754,2
0.0019582999993872363,2
0.0018082999995385762,2
0.012633099999220576,2
0.0021797000008518808,1
0.01680570000098669,2
0.013048900000285357,1
0.0018766000030154828,8
0.0035053999999945518,4
0.0011239999985264149,1
0.0019715999987965915,14
0.0005920000003243331,1
0.005010700002458179,3
0.002100500001688488,2
0.006461000000854256,5
0.019487900000967784,36
0.011472599999251543,6
0.006442199999582954,5
0.003536199998052325,3
0.001745699999446515,3
0.0023794000007910654,9
0.008022699999855831,20
0.01390979999996489,1
0.012695500001427718,5
0.001607899997907225,2
0.024371999999857508,10
0.020641300001443597,6
0.015708700000686804,5
0.005996500000037486,7
0.004920799998217262,4
0.0012247000013303477,3
0.003970199999457691,22
