Tiempo (s),Jugadas
0.0062085709996608784,1
0.013082800000120187,48
0.010356222999689635,28
0.007130994999897666,93
0.007839424000849249,123
0.008685278999109869,20
0.00514717799887876,3
0.007845821000955766,136
0.00588632299877645,47
0.007897254999988945,127
0.020233277999068378,28
0.021363134999774047,33
0.005043826000473928,3
0.005410269999629236,20
0.00584454599993478,44
0.006016707000526367,51
0.005246008000540314,11
0.017853245000878815,17
0.014398847999473219,128
0.01640992499960703,128
0.02945426599944767,87
0.01001342199924693,46
0.020487099998717895,125
0.0066215719998581335,57
0.006115919000876602,21
0.012870151998868096,2
0.012789334999979474,53
0.0139263419987401,80
0.011106653000751976,127
0.006594344000404817,67
0.010710521999499178,108
0.011895996000021114,24
0.021753792998424615,66
0.011611682999500772,29
0.005392641000071308,16
0.026802712000062456,109
0.005560962999879848,25
0.012170276000688318,11
0.0067046770000160905,46
0.007469187001333921,77
0.016413854000347783,43
0.0073657699995237635,84
0.010240068999337382,69
0.007031954999547452,74
0.01915025699963735,142
0.005942308998783119,15
0.0061275219995877706,25
0.005390324000472901,1
0.01703518000067561,91
0.005708358999982011,15
0.0171860430000379,18
0.0199351259998366,52
0.015197557000647066,137
0.006797308000386693,68
0.006937207001101342,90
0.005211755000345875,12
0.00662433300021803,73
0.02210069200009457,52
0.00661488600053417,52
0.018941529999210616,73
0.01668355999936466,56
0.014298645999588189,72
0.02260337700136006,24
0.013431965999188833,41
0.0063397890007763635,46
0.006865092000225559,78
0.010168281000005663,95
0.015177063000010094,43
0.05019762900155911,78
0.005329783998604398,7
0.0072669029996177414,103
0.008673587000885163,25
0.006177798000862822,6
0.01853429699986009,129
0.013015753000217956,44
0.011340344000927871,84
0.018745228000625502,136
0.006348273000185145,40
0.01651733700055047,40
0.009378202999869245,13
0.011862792000101763,24
0.006893566000144347,82
0.01986154699989129,93
0.005695980999007588,25
0.006826985001680441,76
0.006661530998826493,67
0.016017461999581428,135
0.006866778001494822,82
0.007360347000940237,119
0.00547482299953117,26
0.00838194899915834,3
0.012130958999478025,113
0.006750347998604411,64
0.005758822999268887,23
0.007195645999672706,65
0.005770552999820211,17
0.00784635200034245,98
0.011867527000504197,130
0.006439086999307619,22
0.022889301000759588,52
0.00749595799970848,76
0.01716266400035238,91
0.013854381000783178,125
0.013237179999123327,53
0.005579313999987789,10
0.007661033001568285,123
0.00857838800038735,11
0.010614741999233956,6
0.0202009820004605,8
0.005063370001153089,4
0.021192632000747835,125
0.01273585200033267,14
0.015877775000262773,138
0.008142032000250765,78
0.008618541998657747,122
0.009528298000077484,56
0.00949616599973524,25
0.008827150999422884,2
0.014718280999659328,109
0.016568421000556555,95
0.01653837800040492,83
0.006008622000081232,47
0.009857029999693623,84
0.02007588800006488,126
0.01170006099891907,128
0.014415767998798401,149
0.013780491999568767,116
0.009788716999537428,42
0.01087150099920109,89
0.010420672999316594,47
0.00930823000089731,12
0.011223788998904638,100
0.006166270000903751,34
0.010028091999629396,48
0.01722708200031775,82
0.005745202999605681,24
0.011739274999854388,126
0.01237295200007793,20
0.005937435000305413,44
0.009047416999237612,21
0.015406157999677816,57
0.007908052999482607,142
0.016943161999734002,135
0.010954108000078122,143
0.0068203610007913085,88
0.006586933999642497,62
0.009708125000543077,72
0.00518938499953947,4
0.011864100999446237,113
0.010503194998818799,87
0.006026069999279571,37
0.0063604850001866,49
0.009078803999727825,15
0.02126572100132762,64
0.0062283190000016475,16
0.008022611000342295,112
0.005781997999292798,1
0.00889351800105942,14
0.01522188300077687,118
0.006948749998628045,89
0.007079768000039621,72
0.02009600400015188,71
0.005502624000655487,12
0.02200132599864446,105
0.005538084000363597,27
0.008227187998272711,9
0.005914946999837412,42
0.006004634000419173,48
0.013992038000651519,32
0.009497109000221826,10
0.011089600000559585,89
0.01522060400020564,4
0.012715737999315024,37
0.00641103700036183,37
0.010782938999909675,83
0.013965588001155993,73
0.0053097130003152415,1
0.013188382999942405,30
0.006498886999906972,40
0.01414152799952717,113
0.01482076499996765,15
0.012896427000669064,89
0.008804892000625841,45
0.009092918000533246,43
0.005252956998447189,13
0.011085857999205473,149
0.005052577000242309,3
0.0222962780007947,108
0.017506467998828157,57
0.005632567999782623,2
0.00592066699937277,9
0.009843190999163198,45
0.0061585380008182256,24
0.0058926639994751895,12
0.009473477999563329,15
0.01997870700142812,58
0.01188764899961825,148
0.017179438998937258,91
0.008932259999710368,9
0.005089210999358329,1
