Tiempo (s),Jugadas
0.07488299199940229,104
0.030560567998691113,60
0.014370588998644962,7
0.03265258999999787,145
0.010934638999970048,72
0.036356467000587145,130
0.028002597000522655,144
0.009904659000312677,55
0.061496027001339826,86
0.05900568600009137,48
0.0109380850008165,87
0.06872107299932395,143
0.01943844900051772,101
0.005620497999188956,1
0.016419204999692738,31
0.06651851899914618,28
0.01973898699907295,47
0.006331541999315959,22
0.017399270000169054,57
0.0051328899990039645,1
0.012350902001344366,109
0.021529620000364957,111
0.1829613200006861,44
0.0569329989994003,113
0.030028224999114173,108
0.029509644999052398,88
0.009786419999727514,71
0.018293443999937153,63
0.025924048000888433,129
0.028110185001423815,48
0.007819060001565958,38
0.15375320699968142,107
0.04469015100039542,59
0.007204652998552774,25
0.014080744000239065,117
0.07936664400040172,55
0.04074705400125822,77
0.031967461998647195,21
0.0634696619999886,26
0.005672700001014164,6
0.06081546000132221,113
0.013846415999068995,123
0.055752308000592166,68
0.011585242000364815,105
0.0460328600001958,135
0.07284184299896879,127
0.03864862299997185,21
0.08590992600147729,62
0.0058252689996152185,12
0.006476139998994768,23
0.024080282000795705,145
0.014314837999336305,140
0.07368769400090969,73
0.02143795099982526,82
0.02747152000119968,20
0.11332468000000517,59
0.013846415000443812,92
0.042578823000440025,124
0.013413855998805957,104
0.007484900999770616,22
0.054254468999715755,141
0.03781997399892134,119
0.036810771000091336,113
0.02597488500032341,118
0.007714270999713335,22
0.01307022900073207,92
0.011456873999122763,68
0.16712826399998448,10
0.00684896100028709,23
0.04180227799952263,76
0.016444969000076526,11
0.06939169900033448,58
0.13188254899978347,59
0.011464483999588992,61
0.31050210900139064,38
0.013226962999397074,106
0.051841454000168596,133
0.00818969499960076,43
0.04320586500034551,66
0.009964410999600659,71
0.14707525000085298,93
0.007311520999792265,34
0.008172963998731575,45
0.008235454000896425,43
0.016752139999880455,38
0.0528338200001599,29
0.1777873000010004,43
0.050491382000473095,107
0.02776970800005074,90
0.03153335900060483,144
0.022300429998722393,126
0.014167620998705388,6
0.013930679999248241,126
0.023092418001397164,126
0.08494886799962842,32
0.05863746799877845,146
0.00846461200126214,48
0.005946876999587403,14
0.005541878999792971,8
0.025192322998918826,126
