Tiempo (s),Jugadas
0.012414543998602312,63
0.008505858999342308,100
0.013247496000985848,54
0.01790497699948901,25
0.013867399000446312,100
0.029295193000507425,91
0.011636171000645845,34
0.028316242998698726,98
0.01884624400008761,126
0.030149225000059232,41
0.008156072999554453,65
0.008847648001392372,94
0.007659705999685684,66
0.016066104999481468,107
0.00859288799983915,82
0.019835471000988036,138
0.01010551800027315,6
0.03292351399977633,32
0.054427995999503764,27
0.01804016699861677,77
0.005362649000744568,11
0.02176939799937827,17
0.014582174000679515,117
0.023828258001231006,55
0.023326618000282906,89
0.007258097000885755,52
0.013822635999531485,96
0.041486774000077276,109
0.0052375569994183024,8
0.005355156999939936,10
0.0055101039997680346,19
0.017094287999498192,85
0.0051146200003131526,5
0.010510475000046426,20
0.01712328699977661,95
0.022935424000024796,60
0.04139494799892418,32
0.005424818000392406,2
0.01964529399992898,149
0.006078055999751086,14
0.009103800000957563,103
0.08147321800061036,22
0.007058892000713968,63
0.005419487999461126,8
0.01761495500068122,106
0.0059626090005622245,32
0.013089899999613408,56
0.006164878001072793,18
0.011117251000541728,8
0.023008038000625675,30
0.01844935400004033,60
0.01375613599884673,44
0.020188468999549514,139
0.005815862999952515,20
0.007827113000530517,77
0.020102909998968244,58
0.03045029299937596,147
0.005122290000144858,4
0.009481916000368074,7
0.02035919799891417,21
0.06011193800077308,61
0.017711274000248522,47
0.019619863998741494,71
0.014581470999473822,134
0.013258491000669892,102
0.011658760000500479,41
0.017757138000888517,48
0.014782562000618782,21
0.008751035000386764,119
0.018814031000147224,31
0.018868967999878805,9
0.03376078899964341,105
0.008266061000540503,102
0.010793832001581904,16
0.006742621999364928,36
0.05022619500050496,91
0.02239489500061609,44
0.008289699999295408,86
0.0057488729999022326,15
0.005446885999845108,6
0.005350322999220225,4
0.036918019999575336,30
0.01133980400118162,48
0.012201813999126898,45
0.005018926998673123,2
0.005632279999190359,23
0.010598445998766692,28
0.057432452000284684,145
0.005733856000006199,6
0.006214220000401838,24
0.02912930200000119,18
0.015094053998836898,11
0.007371821999186068,62
0.025077006001083646,26
0.017382332000124734,88
0.014877473999149515,147
0.022054794000723632,112
0.014127803999144817,121
0.024814646998493117,35
0.011718145000486402,68
0.007323227999222581,72
0.04470286200012197,98
0.014979157998823212,84
0.005497590000231867,5
0.006051464999472955,28
0.01464783400115266,123
0.006466221000664518,28
0.005764653000369435,12
0.01635795200127177,26
0.010353742000006605,2
0.005821086000651121,19
0.005487845999596175,7
0.01616242900126963,21
0.01029877000109991,27
0.008799077000730904,120
0.02073044800090429,116
0.0425753759991494,43
0.01735964299950865,63
0.01680717400085996,26
0.011337444000673713,47
0.05860354000105872,48
0.018766876999507076,77
0.01234733000092092,63
0.005361990000892547,9
0.040660313999978825,106
0.013131514000633615,14
0.046147860999553814,34
0.009638482999434927,119
0.04036394600007043,131
0.013674448999154265,58
0.006163582000226597,26
0.014389117000973783,130
0.01389195100091456,113
0.030896743999619503,74
0.0067352340010984335,58
0.020119368000450777,16
0.014305148000858026,121
0.004999838000003365,2
0.03332421500090277,120
0.005961738001133199,14
0.008454341999822645,104
0.009102200001507299,94
0.04784423999990395,31
0.022489982000479358,133
0.02135518199975195,23
0.023211699999592383,118
0.015256884000336868,99
0.010608456001136801,14
0.019353850000698003,13
0.02523015699989628,12
0.02979513699938252,42
0.008826330998999765,95
0.020830779998505022,134
0.03544510000028822,41
0.0077429510001820745,69
0.03808187600043311,140
0.007855748999645584,76
0.02532570599942119,67
0.00650270299956901,44
0.010601740999845788,14
0.007239517000925844,76
0.010143080999114318,145
0.03386697899986757,41
0.01918814599957841,94
0.02327695100029814,25
0.013082452000162448,45
0.023668375999477576,39
0.00882468700001482,130
0.03058986699943489,48
0.007213652001155424,77
0.009973823000109405,20
0.006901176000610576,58
0.030394842999157845,143
0.008334181999089196,69
0.01742464199924143,82
0.01712848799979838,59
0.01675178500045149,143
0.0238191900007223,55
0.007214818000647938,63
0.008455855000647716,101
0.013947773000836605,70
0.14135697500023525,73
0.019185789999028202,64
0.006653663998804404,38
0.020828615000937134,137
0.021127063999301754,142
0.015580601000692695,148
0.00678136100032134,52
0.005777775000751717,21
0.01807634800024971,104
0.03153532300166262,92
0.01815508000072441,108
0.02429261599900201,85
0.027949162000368233,73
0.05129416499949002,43
0.02725908299908042,30
0.015665420000004815,23
0.0056015370009845356,14
0.009674564000306418,119
0.008781253000051947,102
